total time (train set)	% mean class accuracy (train set)	
 1.3657e+04	 8.7408e+01	
 1.3738e+04	 8.7100e+01	
 1.3820e+04	 8.7025e+01	
 1.3901e+04	 8.7772e+01	
 1.3982e+04	 8.8042e+01	
 1.4063e+04	 8.8051e+01	
 1.4144e+04	 8.7529e+01	
 1.4225e+04	 8.8033e+01	
 1.4306e+04	 8.7921e+01	
 1.4387e+04	 8.8564e+01	
 1.4468e+04	 8.7324e+01	
 1.4549e+04	 8.7025e+01	
 1.4630e+04	 8.7193e+01	
 1.4711e+04	 8.7436e+01	
 1.4792e+04	 8.7529e+01	
 1.4874e+04	 8.7538e+01	
 1.4955e+04	 8.8079e+01	
 1.5036e+04	 8.8219e+01	
 1.5117e+04	 8.8145e+01	
 1.5198e+04	 8.8089e+01	
 1.5279e+04	 8.8882e+01	
 1.5360e+04	 8.8546e+01	
 1.5441e+04	 8.8509e+01	
 1.5522e+04	 8.8285e+01	
 1.5603e+04	 8.8499e+01	
 1.5684e+04	 8.9022e+01	
 1.5765e+04	 8.8723e+01	
 1.5846e+04	 8.8387e+01	
 1.5927e+04	 8.8229e+01	
 1.6009e+04	 8.8089e+01	
 1.6090e+04	 8.8471e+01	
 1.6171e+04	 8.9329e+01	
 1.6252e+04	 8.9488e+01	
 1.6333e+04	 8.9898e+01	
 1.6414e+04	 8.9777e+01	
 1.6495e+04	 8.9824e+01	
 1.6576e+04	 8.9805e+01	
 1.6657e+04	 9.0160e+01	
 1.6738e+04	 9.0104e+01	
 1.6819e+04	 8.9852e+01	
 1.6900e+04	 9.0299e+01	
 1.6981e+04	 8.9581e+01	
 1.7062e+04	 8.9833e+01	
 1.7143e+04	 9.0225e+01	
 1.7224e+04	 8.9973e+01	
 1.7306e+04	 9.0197e+01	
 1.7387e+04	 9.0178e+01	
 1.7468e+04	 9.0132e+01	
 1.7549e+04	 9.0327e+01	
 1.7630e+04	 9.0383e+01	
 1.7711e+04	 9.0467e+01	
 1.7792e+04	 8.9646e+01	
 1.7873e+04	 8.9488e+01	
 1.7954e+04	 8.9982e+01	
 1.8035e+04	 8.9619e+01	
 1.8116e+04	 8.9908e+01	
 1.8197e+04	 9.0187e+01	
 1.8278e+04	 9.0104e+01	
 1.8359e+04	 9.0038e+01	
 1.8440e+04	 9.0346e+01	
 1.8521e+04	 9.0663e+01	
 1.8602e+04	 9.0402e+01	
 1.8683e+04	 9.0523e+01	
 1.8764e+04	 9.0700e+01	
 1.8845e+04	 9.0700e+01	
 1.8926e+04	 9.0990e+01	
 1.9007e+04	 9.0868e+01	
 1.9088e+04	 9.0393e+01	
 1.9169e+04	 9.0719e+01	
 1.9250e+04	 9.0990e+01	
 1.9332e+04	 9.1046e+01	
 1.9413e+04	 9.1279e+01	
 1.9494e+04	 9.0896e+01	
 1.9575e+04	 9.1008e+01	
 1.9656e+04	 9.1251e+01	
 1.9737e+04	 9.1055e+01	
 1.9818e+04	 9.1587e+01	
 1.9899e+04	 9.1829e+01	
 1.9980e+04	 9.1531e+01	
 2.0061e+04	 9.1755e+01	
 2.0142e+04	 9.1419e+01	
 2.0223e+04	 9.1577e+01	
 2.0304e+04	 9.2006e+01	
 2.0385e+04	 9.2006e+01	
 2.0466e+04	 9.1764e+01	
 2.0547e+04	 9.1559e+01	
 2.0628e+04	 9.1139e+01	
 2.0709e+04	 9.1801e+01	
 2.0790e+04	 9.1596e+01	
 2.0871e+04	 9.1587e+01	
 2.0952e+04	 9.1232e+01	
 2.1033e+04	 9.1176e+01	
 2.1114e+04	 9.0934e+01	
 2.1195e+04	 9.1027e+01	
 2.1276e+04	 9.1204e+01	
 2.1358e+04	 9.1036e+01	
