total time (train set)	% mean class accuracy (train set)	
 5.8717e+04	 9.9524e+01	
 5.8798e+04	 9.9319e+01	
 5.8879e+04	 9.9394e+01	
 5.8960e+04	 9.9347e+01	
 5.9041e+04	 9.9366e+01	
 5.9122e+04	 9.9468e+01	
 5.9203e+04	 9.9394e+01	
 5.9284e+04	 9.9272e+01	
 5.9365e+04	 9.9534e+01	
 5.9446e+04	 9.9272e+01	
 5.9527e+04	 9.9338e+01	
 5.9608e+04	 9.9319e+01	
 5.9689e+04	 9.9142e+01	
 5.9770e+04	 9.9487e+01	
 5.9851e+04	 9.9375e+01	
 5.9932e+04	 9.9440e+01	
 6.0013e+04	 9.9552e+01	
 6.0094e+04	 9.9450e+01	
 6.0176e+04	 9.9506e+01	
 6.0257e+04	 9.9562e+01	
 6.0338e+04	 9.9272e+01	
 6.0419e+04	 9.9384e+01	
 6.0500e+04	 9.9431e+01	
 6.0581e+04	 9.9496e+01	
 6.0662e+04	 9.9515e+01	
 6.0743e+04	 9.9356e+01	
 6.0824e+04	 9.9366e+01	
 6.0905e+04	 9.9394e+01	
 6.0986e+04	 9.9394e+01	
 6.1067e+04	 9.9459e+01	
 6.1148e+04	 9.9384e+01	
 6.1229e+04	 9.9506e+01	
 6.1310e+04	 9.9571e+01	
 6.1391e+04	 9.9366e+01	
 6.1472e+04	 9.9412e+01	
 6.1553e+04	 9.9440e+01	
 6.1634e+04	 9.9366e+01	
 6.1716e+04	 9.9543e+01	
 6.1797e+04	 9.9412e+01	
 6.1878e+04	 9.9356e+01	
 6.1959e+04	 9.9384e+01	
 6.2040e+04	 9.9422e+01	
 6.2121e+04	 9.9440e+01	
 6.2202e+04	 9.9403e+01	
 6.2283e+04	 9.9431e+01	
 6.2364e+04	 9.9459e+01	
 6.2445e+04	 9.9422e+01	
 6.2526e+04	 9.9487e+01	
 6.2607e+04	 9.9515e+01	
 6.2688e+04	 9.9636e+01	
 6.2769e+04	 9.9384e+01	
 6.2850e+04	 9.9328e+01	
 6.2931e+04	 9.9403e+01	
 6.3012e+04	 9.9515e+01	
 6.3102e+04	 9.9431e+01	
 6.3184e+04	 9.9496e+01	
 6.3265e+04	 9.9384e+01	
 6.3346e+04	 9.9468e+01	
 6.3427e+04	 9.9571e+01	
 6.3508e+04	 9.9375e+01	
 6.3589e+04	 9.9506e+01	
 6.3670e+04	 9.9655e+01	
 6.3751e+04	 9.9543e+01	
 6.3832e+04	 9.9534e+01	
 6.3913e+04	 9.9366e+01	
 6.3994e+04	 9.9412e+01	
 6.4075e+04	 9.9524e+01	
 6.4156e+04	 9.9506e+01	
 6.4237e+04	 9.9552e+01	
 6.4318e+04	 9.9310e+01	
 6.4399e+04	 9.9552e+01	
 6.4480e+04	 9.9562e+01	
 6.4561e+04	 9.9692e+01	
 6.4643e+04	 9.9487e+01	
 6.4724e+04	 9.9403e+01	
 6.4805e+04	 9.9590e+01	
 6.4886e+04	 9.9366e+01	
 6.4967e+04	 9.9338e+01	
 6.5048e+04	 9.9468e+01	
 6.5129e+04	 9.9506e+01	
 6.5210e+04	 9.9375e+01	
 6.5291e+04	 9.9580e+01	
 6.5372e+04	 9.9487e+01	
 6.5453e+04	 9.9366e+01	
 6.5534e+04	 9.9478e+01	
 6.5615e+04	 9.9580e+01	
 6.5696e+04	 9.9534e+01	
 6.5777e+04	 9.9431e+01	
 6.5858e+04	 9.9468e+01	
 6.5939e+04	 9.9347e+01	
 6.6020e+04	 9.9496e+01	
 6.6101e+04	 9.9319e+01	
 6.6182e+04	 9.9338e+01	
 6.6263e+04	 9.9440e+01	
 6.6344e+04	 9.9254e+01	
 6.6426e+04	 9.9431e+01	
 6.6507e+04	 9.9291e+01	
 6.6588e+04	 9.9515e+01	
 6.6669e+04	 9.9562e+01	
 6.6750e+04	 9.9487e+01	
 6.6831e+04	 9.9431e+01	
 6.6912e+04	 9.9384e+01	
 6.6993e+04	 9.9478e+01	
 6.7074e+04	 9.9412e+01	
 6.7155e+04	 9.9590e+01	
 6.7236e+04	 9.9580e+01	
 6.7317e+04	 9.9599e+01	
 6.7398e+04	 9.9338e+01	
 6.7479e+04	 9.9627e+01	
 6.7560e+04	 9.9310e+01	
 6.7641e+04	 9.9599e+01	
 6.7722e+04	 9.9394e+01	
 6.7803e+04	 9.9394e+01	
 6.7884e+04	 9.9478e+01	
 6.7965e+04	 9.9552e+01	
 6.8046e+04	 9.9506e+01	
 6.8127e+04	 9.9431e+01	
 6.8209e+04	 9.9562e+01	
 6.8290e+04	 9.9272e+01	
 6.8371e+04	 9.9459e+01	
 6.8452e+04	 9.9534e+01	
 6.8533e+04	 9.9459e+01	
 6.8614e+04	 9.9655e+01	
 6.8695e+04	 9.9506e+01	
 6.8776e+04	 9.9608e+01	
 6.8857e+04	 9.9468e+01	
 6.8938e+04	 9.9655e+01	
 6.9019e+04	 9.9412e+01	
 6.9100e+04	 9.9459e+01	
 6.9181e+04	 9.9487e+01	
 6.9262e+04	 9.9440e+01	
 6.9343e+04	 9.9440e+01	
 6.9424e+04	 9.9431e+01	
 6.9505e+04	 9.9366e+01	
 6.9586e+04	 9.9394e+01	
 6.9667e+04	 9.9356e+01	
 6.9748e+04	 9.9506e+01	
 6.9830e+04	 9.9450e+01	
 6.9911e+04	 9.9515e+01	
 6.9992e+04	 9.9646e+01	
 7.0073e+04	 9.9412e+01	
 7.0154e+04	 9.9590e+01	
 7.0235e+04	 9.9552e+01	
 7.0316e+04	 9.9571e+01	
 7.0397e+04	 9.9478e+01	
 7.0478e+04	 9.9515e+01	
 7.0559e+04	 9.9552e+01	
 7.0640e+04	 9.9524e+01	
 7.0721e+04	 9.9534e+01	
 7.0802e+04	 9.9580e+01	
 7.0883e+04	 9.9422e+01	
 7.0964e+04	 9.9431e+01	
 7.1045e+04	 9.9543e+01	
 7.1126e+04	 9.9571e+01	
 7.1207e+04	 9.9440e+01	
 7.1289e+04	 9.9440e+01	
 7.1370e+04	 9.9599e+01	
 7.1451e+04	 9.9562e+01	
 7.1532e+04	 9.9487e+01	
 7.1613e+04	 9.9170e+01	
 7.1694e+04	 9.9478e+01	
 7.1775e+04	 9.9403e+01	
 7.1856e+04	 9.9562e+01	
 7.1937e+04	 9.9543e+01	
 7.2018e+04	 9.9580e+01	
 7.2099e+04	 9.9571e+01	
 7.2180e+04	 9.9599e+01	
 7.2261e+04	 9.9618e+01	
 7.2342e+04	 9.9562e+01	
 7.2423e+04	 9.9524e+01	
 7.2504e+04	 9.9543e+01	
 7.2585e+04	 9.9534e+01	
 7.2666e+04	 9.9468e+01	
 7.2747e+04	 9.9562e+01	
 7.2828e+04	 9.9636e+01	
 7.2909e+04	 9.9496e+01	
 7.2990e+04	 9.9599e+01	
 7.3072e+04	 9.9506e+01	
 7.3153e+04	 9.9422e+01	
 7.3234e+04	 9.9450e+01	
 7.3315e+04	 9.9664e+01	
 7.3396e+04	 9.9524e+01	
 7.3477e+04	 9.9431e+01	
 7.3558e+04	 9.9478e+01	
 7.3639e+04	 9.9627e+01	
 7.3721e+04	 9.9515e+01	
